n,direccion,status,http_code,elapsed_s,error
333,JORGE NEWBERY 2843,OK,200.0,5.981958389282227,
334,MARCOS PAZ 3280,OK,200.0,12.866636514663696,
335,NUEVA YORK 3052,OK,200.0,7.78266167640686,
336,FRAY CAYETANO RODRIGUEZ 1065,OK,200.0,5.00635027885437,
337,POLA 2763,OK,200.0,5.393953561782837,
338,JOSE A. TERRY 380,OK,200.0,5.366022825241089,
339,JUAN DE CASTRO 1574,OK,200.0,4.982095956802368,
340,EL MAESTRO 40,OK,200.0,5.620258569717407,
341,LASCANO 5541,OK,200.0,5.053127288818359,
342,AV. CASTAÑARES 2027,OK,200.0,5.235781192779541,
343,SAN JOSE DE CALASANZ 1033,OK,200.0,5.164177417755127,
344,GUATEMALA 4446,OK,200.0,6.431438446044922,
345,RAWSON 217,OK,200.0,9.312886476516724,
346,MOCTEZUMA 909,OK,200.0,6.030605316162109,
347,INGENIERO JOSE ESTEVEZ 2368,OK,200.0,4.317549228668213,
348,HOLMBERG 2065,OK,200.0,4.856147050857544,
349,SALADILLO 1341,OK,200.0,5.008224248886108,
350,CAÑADA DE GOMEZ 4127,OK,200.0,5.687554121017456,
351,CONCORDIA 1328,OK,200.0,5.05532431602478,
352,CASTRO 947,OK,200.0,9.609105587005615,
353,ALEJANDRO MAGARIÑOS CERVANTES 1702,ERROR,404.0,0.29466700553894043,HTTP 404
354,ALEJANDRO MAGARIÑOS CERVANTES 2985,ERROR,404.0,0.7842106819152832,HTTP 404
355,AV. CHICLANA 2831,OK,200.0,6.5901899337768555,
356,DEAN FUNES 1206,OK,200.0,7.866322755813599,
357,FRANCISCO J. ORTIZ 6973,OK,200.0,4.8127617835998535,
358,CASTEX 3296,OK,200.0,5.235096454620361,
359,AV. RIESTRA 6069,OK,200.0,5.574745416641235,
360,DOBLAS 1611,OK,200.0,4.744525909423828,
361,SUNCHALES 610,OK,200.0,4.7042810916900635,
362,AV. VARELA 975,OK,200.0,8.084914684295654,
363,USPALLATA 649,OK,200.0,6.47626256942749,
364,SEVERO GARCIA GRANDE DE ZEQUEIRA 5977,OK,200.0,4.2839577198028564,
365,BEAUCHEF 1108,ERROR,404.0,1.6889832019805908,HTTP 404
366,TEJEDOR 311,OK,200.0,7.753328561782837,
367,ANDRES LAMAS 1909,OK,200.0,5.04366660118103,
368,PARQUE ROBERTO GOYENECHE 3605,OK,200.0,4.587093353271484,
